id_departamento;id_cargo;id_loja;id_contato;id_endereco;nome;sobrenome;dt_nascimento;genero;cpf;salario;dt_admissao;dt_demissao
7;7;39;42451;271494;Helena;Teixeira;30/06/1987;F;047.326.589-38;8991.28;18/06/2023;
5;8;36;375442;611721;João Lucas;da Paz;20/05/1968;M;142.705.698-67;10836.71;22/11/2020;
2;5;41;953939;558434;Luara;Dias;11/06/2000;M;387.942.056-47;7237.73;17/06/2016;
6;8;44;587008;105593;Isabelly;Santos;05/05/2004;F;075.182.934-04;9532.18;07/12/2018;
4;9;54;500182;464198;João Miguel;Nogueira;11/05/1989;F;195.430.278-97;2652.17;30/12/2016;
1;2;1;754666;880900;Ágatha;Farias;22/08/1995;F;384.907.615-66;14639.69;25/10/2019;
1;8;46;868288;909748;Léo;Correia;01/08/1971;F;047.961.852-67;6012.35;27/01/2024;
2;4;35;961565;595079;Heloísa;Santos;28/07/1994;M;483.619.725-28;5914.39;16/07/2022;19/08/2024
9;8;20;95647;84354;Eduarda;Barros;11/12/1980;F;917.452.806-85;17689.11;27/06/2019;24/06/2020
8;2;45;316090;578046;Pedro Lucas;Freitas;23/06/1970;F;560.719.823-59;14571.39;30/04/2015;
9;4;30;838261;632486;Josué;Porto;14/09/1971;F;916.027.453-07;9732.3;09/03/2018;
7;6;45;603614;253868;Léo;Silva;22/04/1967;F;730.594.826-83;4901.57;19/04/2019;
1;5;50;499679;72442;Davi Miguel;Câmara;09/10/1963;M;456.109.382-60;14056.39;13/07/2021;
3;1;31;883384;84147;Murilo;da Luz;10/04/1983;F;723.601.498-22;17000.51;13/11/2016;
9;4;7;890751;225655;Luísa;Rios;09/10/1970;F;076.482.513-53;12224.36;26/06/2017;
6;2;31;340080;642550;Apollo;Marques;03/04/1964;M;504.163.279-07;10499.22;25/12/2020;
4;4;60;16997;767023;João;Silva;28/12/1979;F;691.047.283-78;3666.98;02/09/2018;
3;6;19;446831;855547;Manuela;Garcia;21/09/2004;M;960.354.827-83;3361.24;10/09/2017;
4;1;9;856813;601743;Maitê;Azevedo;07/07/1976;M;278.460.519-11;1993.89;08/03/2020;
10;2;57;410213;95979;Maria Helena;Aragão;15/02/1987;F;381.657.042-90;16926.12;02/04/2020;
10;1;32;204044;193958;André;Cunha;06/11/1959;M;081.794.632-22;10365.82;22/12/2017;
1;1;26;570673;446294;Guilherme;Melo;13/11/1985;M;104.382.976-87;16964.2;31/10/2016;
2;5;64;367310;457252;Leonardo;da Mota;20/02/1960;M;093.524.618-51;2629.29;15/04/2023;
10;2;49;733294;410283;Maria Cecília;Porto;03/07/1988;M;582.134.709-23;6312.47;11/06/2017;
8;3;9;731589;705315;Vitor Hugo;Farias;03/11/1981;M;519.640.783-93;19381.15;01/06/2017;
3;3;48;358941;555194;Amanda;Fonseca;27/09/1985;F;824.031.675-17;3668.44;10/10/2023;
3;1;56;494536;714375;Diego;da Rosa;23/04/1986;F;546.078.312-71;18151.81;20/09/2020;
5;6;21;407521;878352;Josué;Mendes;08/10/1966;F;760.281.453-35;4338.14;09/05/2016;
8;2;3;352235;774915;Davi Lucca;Barros;08/05/1972;M;306.879.214-22;11569.91;28/10/2024;
8;6;62;639774;301862;Pedro Henrique;Lima;26/07/1964;F;534.718.960-66;12420.14;17/12/2015;
10;3;23;750382;325371;Benjamin;Moura;09/08/1989;F;317.928.065-40;15346.99;27/08/2016;
2;1;53;623460;201652;Miguel;Marques;07/08/1984;F;582.043.179-05;4461.48;27/01/2022;
