id_departamento;id_cargo;id_contato;id_endereco;nome;sobrenome;dt_nascimento;genero;cpf;salario;dt_admissao;dt_demissao
7;7;42451;271494;Helena;Teixeira;1987-06-30;F;047.326.589-38;8991.28;2023-06-18;
5;8;375442;611721;João Lucas;da Paz;1968-05-20;M;142.705.698-67;10836.71;2020-11-22;
2;5;953939;558434;Luara;Dias;2000-06-11;M;387.942.056-47;7237.73;2016-06-17;
6;8;587008;105593;Isabelly;Santos;2004-05-05;F;075.182.934-04;9532.18;2018-12-07;
4;9;500182;464198;João Miguel;Nogueira;1989-05-11;F;195.430.278-97;2652.17;2016-12-30;
1;2;754666;880900;Ágatha;Farias;1995-08-22;F;384.907.615-66;14639.69;2019-10-25;
1;8;868288;909748;Léo;Correia;1971-08-01;F;047.961.852-67;6012.35;2024-01-27;
2;4;961565;595079;Heloísa;Santos;1994-07-28;M;483.619.725-28;5914.39;2022-07-16;2024-08-19
9;8;95647;84354;Eduarda;Barros;1980-12-11;F;917.452.806-85;17689.11;2019-06-27;2020-06-24
8;2;316090;578046;Pedro Lucas;Freitas;1970-06-23;F;560.719.823-59;14571.39;2015-04-30;
9;4;838261;632486;Josué;Porto;1971-09-14;F;916.027.453-07;9732.3;2018-03-09;
7;6;603614;253868;Léo;Silva;1967-04-22;F;730.594.826-83;4901.57;2019-04-19;
1;5;499679;72442;Davi Miguel;Câmara;1963-10-09;M;456.109.382-60;14056.39;2021-07-13;
3;1;883384;84147;Murilo;da Luz;1983-04-10;F;723.601.498-22;17000.51;2016-11-13;
9;4;890751;225655;Luísa;Rios;1970-10-09;F;076.482.513-53;12224.36;2017-06-26;
6;2;340080;642550;Apollo;Marques;1964-04-03;M;504.163.279-07;10499.22;2020-12-25;
4;4;16997;767023;João;Silva;1979-12-28;F;691.047.283-78;3666.98;2018-09-02;
3;6;446831;855547;Manuela;Garcia;2004-09-21;M;960.354.827-83;3361.24;2017-09-10;
4;1;856813;601743;Maitê;Azevedo;1976-07-07;M;278.460.519-11;1993.89;2020-03-08;
10;2;410213;95979;Maria Helena;Aragão;1987-02-15;F;381.657.042-90;16926.12;2020-04-02;
10;1;204044;193958;André;Cunha;1959-11-06;M;081.794.632-22;10365.82;2017-12-22;
1;1;570673;446294;Guilherme;Melo;1985-11-13;M;104.382.976-87;16964.2;2016-10-31;
2;5;367310;457252;Leonardo;da Mota;1960-02-20;M;093.524.618-51;2629.29;2023-04-15;
10;2;733294;410283;Maria Cecília;Porto;1988-07-03;M;582.134.709-23;6312.47;2017-06-11;
8;3;731589;705315;Vitor Hugo;Farias;1981-11-03;M;519.640.783-93;19381.15;2017-06-01;
3;3;358941;555194;Amanda;Fonseca;1985-09-27;F;824.031.675-17;3668.44;2023-10-10;
3;1;494536;714375;Diego;da Rosa;1986-04-23;F;546.078.312-71;18151.81;2020-09-20;
5;6;407521;878352;Josué;Mendes;1966-10-08;F;760.281.453-35;4338.14;2016-05-09;
8;2;352235;774915;Davi Lucca;Barros;1972-05-08;M;306.879.214-22;11569.91;2024-10-28;
8;6;639774;301862;Pedro Henrique;Lima;1964-07-26;F;534.718.960-66;12420.14;2015-12-17;
10;3;750382;325371;Benjamin;Moura;1989-08-09;F;317.928.065-40;15346.99;2016-08-27;
2;1;623460;201652;Miguel;Marques;1984-08-07;F;582.043.179-05;4461.48;2022-01-27;
8;7;744856;917948;Raquel;Monteiro;2005-02-06;F;578.961.403-57;2083.59;2020-04-15;
10;7;809696;694363;Aurora;Andrade;1994-08-10;M;249.638.751-28;4564.99;2016-01-02;
3;8;553201;927933;Enzo Gabriel;Moreira;1961-07-22;F;132.076.894-69;18298.74;2017-05-28;
1;1;518608;341777;Maria Clara;Freitas;1993-03-28;F;680.479.521-02;16998.13;2018-05-19;
7;4;575210;663842;Amanda;Nascimento;1999-08-11;M;679.481.023-96;16992.8;2017-12-20;
1;7;995673;711475;Ana Julia;Montenegro;1997-09-06;F;451.328.679-28;7349.28;2015-12-07;
1;9;641794;102535;Luan;Ramos;1967-07-16;M;345.069.871-01;3699.72;2016-04-06;
5;5;721987;191073;Kevin;Fogaça;1986-11-07;M;076.395.842-56;10298.7;2015-06-05;
2;1;288059;958274;João;Pires;1980-11-30;F;185.937.046-20;16296.75;2020-08-15;
5;3;685315;546168;Josué;Rodrigues;2001-03-15;F;426.780.193-22;3629.52;2022-06-09;
1;1;42639;215730;Esther;Sá;1971-11-02;F;751.063.284-62;11829.58;2018-10-13;
10;1;887473;785525;Francisco;Vasconcelos;2001-07-27;F;896.420.135-33;14678.62;2016-04-21;
7;6;913741;564060;Gustavo Henrique;Leão;1963-02-26;M;162.503.479-25;5345.12;2015-05-22;
1;3;158360;284556;Maysa;Duarte;1976-01-24;F;159.026.874-11;7743.95;2015-01-16;
2;6;817278;650682;Ravi;Fonseca;1963-09-03;M;923.016.458-51;2262.25;2015-04-18;
10;5;378439;413970;Ravi Lucca;Casa Grande;1971-08-07;M;719.256.804-01;6928.03;2021-01-13;
4;1;322836;188311;Bruna;Melo;1978-10-15;M;485.190.726-58;7099.41;2017-07-14;
5;7;113930;104229;Fernanda;Casa Grande;1967-05-25;F;359.162.480-24;10269.09;2017-02-14;
6;2;502359;121644;Asafe;Gonçalves;1964-03-05;F;126.843.975-46;9390.9;2019-12-11;
3;3;657187;591908;Daniela;Barros;1975-10-03;F;750.369.821-77;16413.19;2022-05-20;2023-04-01
2;2;847011;88783;Esther;da Rocha;1990-12-01;M;129.804.763-31;15372.59;2021-08-28;
1;2;412938;583506;Léo;Vargas;1987-07-28;F;623.784.195-46;9798.07;2016-05-06;
10;4;443588;87728;Maria Sophia;Sá;1972-09-24;F;407.938.156-57;5572.55;2019-12-31;2024-08-19
10;3;452169;201269;Leonardo;Lima;1990-12-15;F;173.482.059-41;3627.73;2015-07-25;
1;9;473550;788989;Alexandre;da Cunha;1985-12-26;M;867.052.419-85;3699.84;2016-04-28;
4;1;994010;836170;Brayan;Barbosa;1976-09-26;M;485.091.763-10;13033.18;2019-10-21;
8;7;379210;572933;Alexia;Moreira;1968-01-09;M;983.407.621-50;3437.81;2019-11-06;
8;3;591297;425625;Luísa;Freitas;1997-07-17;F;291.503.487-79;17736.65;2017-04-01;
6;8;522869;665914;Ana Clara;Fogaça;2001-11-21;M;763.984.210-78;11541.97;2022-06-05;
1;6;739869;783328;Ana Clara;Casa Grande;1992-08-05;F;039.285.764-29;16635.19;2016-04-04;
3;5;631858;822259;Isabela;Abreu;1983-06-17;M;019.256.873-68;17083.17;2018-02-16;
8;2;838804;88755;Gustavo Henrique;Lopes;1990-03-28;M;562.739.140-52;2727.56;2023-10-17;
5;1;795763;884951;Ana Vitória;Cardoso;1973-02-01;F;275.638.410-08;7616.0;2018-03-19;
3;8;389360;529531;Luna;Costela;1998-10-15;F;069.157.834-66;18170.17;2017-10-28;
10;2;711534;832722;Ravi Lucca;Pimenta;1979-02-14;M;914.623.708-96;15318.86;2024-10-03;
4;5;561425;944913;Maria;Mendonça;1976-03-17;F;735.209.481-41;16775.39;2014-12-10;
7;4;892671;906785;Amanda;Rezende;1959-05-12;M;216.584.390-15;13654.21;2022-08-05;
3;5;531479;597968;Matheus;Fernandes;2000-04-08;F;195.243.680-05;7654.69;2023-10-03;
5;5;810005;427896;Caio;Correia;1983-12-19;F;135.962.478-37;16485.69;2019-03-17;
3;4;301034;764885;Maria Luísa;Ferreira;1975-03-16;F;041.935.867-66;2527.25;2023-04-10;
7;3;515723;933193;Maria Clara;Macedo;1966-11-29;M;193.087.546-01;13960.56;2022-02-19;
6;7;36889;641489;Isabel;Aparecida;1971-02-24;F;379.125.460-06;8653.64;2024-05-08;
8;3;21211;34043;Allana;Pimenta;1995-09-11;M;347.869.210-50;13154.38;2015-02-26;
9;6;204445;402039;Isaac;Pimenta;1965-08-09;F;263.190.745-07;3553.44;2021-06-02;
8;6;682070;130363;Yago;Campos;1997-04-19;F;534.196.027-07;16088.48;2020-06-10;
7;5;961427;782012;Ravi Lucca;Freitas;2001-08-23;M;742.108.965-94;11101.64;2017-01-30;
4;1;820107;411070;Isabela;Cassiano;1970-11-26;F;812.693.507-30;8374.26;2018-11-07;
6;2;46810;945740;Hadassa;Fogaça;2000-04-13;M;927.046.813-50;10494.05;2020-02-16;
9;4;240811;98017;Apollo;Câmara;1996-09-04;F;278.490.561-67;10881.47;2018-02-15;
3;7;935165;593508;Anna Liz;Viana;1978-09-22;F;603.821.549-24;18573.29;2019-04-20;
7;2;104031;435329;Catarina;Rios;1969-12-02;M;405.968.137-75;15084.17;2023-03-25;
8;7;719762;437277;Davi;Alves;1975-04-22;M;093.528.416-89;10687.56;2017-03-09;
6;5;82354;369627;Pedro;Machado;1988-06-28;M;254.189.360-42;3745.49;2021-11-02;
6;6;186550;10449;Vinícius;Nascimento;1995-01-12;M;701.369.825-30;16651.62;2023-08-14;
3;4;3390;214739;Juan;Barros;1981-05-02;M;329.014.586-70;15337.57;2022-02-21;
1;4;900911;148780;Gustavo Henrique;Pinto;2001-08-24;M;720.863.954-00;9899.89;2023-04-27;
5;3;29294;218230;Felipe;Fogaça;1978-10-17;F;273.491.865-09;7697.74;2023-04-02;2024-01-31
5;9;666806;342868;Arthur;das Neves;1994-12-18;M;487.095.236-00;12470.86;2022-08-18;
9;5;164001;394883;Isabela;Silveira;1967-01-16;M;657.092.814-76;18995.05;2018-05-25;
6;9;254635;248154;Sarah;Moreira;1982-01-11;M;643.082.157-90;6884.6;2017-08-22;
1;3;630413;21548;Leandro;Farias;1959-06-29;F;902.765.413-16;2941.54;2021-09-28;
7;5;577532;436994;Lorena;Cavalcante;1958-12-11;M;207.198.356-40;12434.92;2018-01-25;
6;2;260109;466419;Davi Miguel;Novaes;1987-09-20;F;428.051.679-02;13285.32;2022-04-08;
7;7;8837;437493;Vitor;das Neves;1978-04-07;F;064.275.819-02;9664.0;2022-03-21;
8;2;996429;194468;João Miguel;Abreu;1993-09-02;M;265.304.897-38;6623.95;2015-02-21;
3;8;973360;418148;Eloá;Moura;1969-08-29;M;357.081.496-39;15701.35;2022-01-07;
4;8;356923;982626;Eduardo;Oliveira;1989-05-16;M;371.869.052-77;8074.3;2019-07-02;
2;8;791712;213532;Thiago;Lopes;1983-02-10;F;951.203.874-97;1534.1;2021-08-23;
10;8;8155;229360;Helena;Lopes;2002-02-10;F;607.241.958-58;3617.46;2021-08-24;2023-08-29
5;9;638752;163810;Rebeca;Carvalho;1961-09-14;F;158.069.724-02;14566.44;2015-08-10;
